id,name,name_kana,elevation,lat,lng,area,prefectures,match_radius_m,peak_alias,verified
37,奥白根山,おくしらねさん,2578,36.798100,139.376100,関東,"[""栃木県"",""群馬県""]",2500,,0
38,皇海山,すかいさん,2144,36.713300,139.336400,関東,"[""群馬県"",""栃木県""]",2500,,0
39,武尊山,ほたかやま,2158,36.798100,139.136400,関東,"[""群馬県""]",2500,,0
40,赤城山,あかぎさん,1828,36.560800,139.193100,関東,"[""群馬県""]",3000,黒檜山,0
41,草津白根山,くさつしらねさん,2160,36.631100,138.528300,上信越,"[""群馬県""]",2500,本白根山,0
42,四阿山,あずまやさん,2354,36.533600,138.414400,上信越,"[""群馬県"",""長野県""]",2500,,0
43,浅間山,あさまやま,2568,36.406100,138.523100,上信越,"[""群馬県"",""長野県""]",3000,,0
44,筑波山,つくばさん,877,36.225600,140.106400,関東,"[""茨城県""]",2000,,0
45,白馬岳,しろうまだけ,2932,36.758300,137.758300,北アルプス,"[""長野県"",""富山県""]",1500,,0
46,五竜岳,ごりゅうだけ,2814,36.657500,137.753300,北アルプス,"[""長野県"",""富山県""]",1500,,0
47,鹿島槍ヶ岳,かしまやりがたけ,2889,36.623900,137.748900,北アルプス,"[""長野県"",""富山県""]",1500,,0
48,剱岳,つるぎだけ,2999,36.623600,137.617200,北アルプス,"[""富山県""]",1500,,0
49,立山,たてやま,3015,36.576400,137.619700,北アルプス,"[""富山県""]",1500,,0
50,薬師岳,やくしだけ,2926,36.467200,137.543600,北アルプス,"[""富山県""]",1500,,0
51,黒部五郎岳,くろべごろうだけ,2840,36.395000,137.540300,北アルプス,"[""富山県"",""岐阜県""]",1500,,0
52,黒岳,くろだけ,2986,36.423100,137.595000,北アルプス,"[""富山県""]",1500,水晶岳,0
53,鷲羽岳,わしばだけ,2924,36.406100,137.608900,北アルプス,"[""富山県"",""長野県""]",1500,,0
54,槍ヶ岳,やりがたけ,3180,36.341900,137.647500,北アルプス,"[""長野県"",""岐阜県""]",1500,,0
55,穂高岳,ほたかだけ,3190,36.289200,137.648100,北アルプス,"[""長野県"",""岐阜県""]",1500,,0
56,常念岳,じょうねんだけ,2857,36.328300,137.728300,北アルプス,"[""長野県""]",1500,,0
57,笠ヶ岳,かさがたけ,2898,36.314700,137.545000,北アルプス,"[""岐阜県""]",1500,,0
58,焼岳,やけだけ,2455,36.226700,137.587200,北アルプス,"[""長野県"",""岐阜県""]",1500,,0
59,乗鞍岳,のりくらだけ,3026,36.106100,137.553300,北アルプス,"[""長野県"",""岐阜県""]",2000,剣ヶ峰,0
60,御嶽山,おんたけさん,3067,35.893100,137.480300,中央,"[""長野県"",""岐阜県""]",2500,剣ヶ峰,0
61,美ヶ原,うつくしがはら,2034,36.220000,138.103300,中央,"[""長野県""]",2500,王ヶ頭,0
62,霧ヶ峰,きりがみね,1925,36.103300,138.195000,中央,"[""長野県""]",2500,車山,0
63,蓼科山,たてしなやま,2531,36.103300,138.295000,八ヶ岳,"[""長野県""]",2000,,0
64,八ヶ岳,やつがたけ,2899,35.971100,138.370300,八ヶ岳,"[""長野県"",""山梨県""]",2000,赤岳,0
65,両神山,りょうかみさん,1723,35.967200,138.828300,奥秩父,"[""埼玉県""]",2000,,0
66,雲取山,くもとりやま,2017,35.855600,138.943300,奥秩父,"[""東京都"",""埼玉県"",""山梨県""]",2000,,0
67,甲武信ヶ岳,こぶしがたけ,2475,35.914400,138.728300,奥秩父,"[""埼玉県"",""山梨県"",""長野県""]",2000,,0
68,金峰山,きんぷさん,2599,35.870000,138.620000,奥秩父,"[""山梨県"",""長野県""]",2000,,0
69,瑞牆山,みずがきやま,2230,35.889400,138.581100,奥秩父,"[""山梨県""]",2000,,0
70,大菩薩岳,だいぼさつだけ,2057,35.748300,138.848900,奥秩父,"[""山梨県""]",2000,,0
71,丹沢山,たんざわさん,1567,35.472800,139.158900,関東,"[""神奈川県""]",2000,,0
72,富士山,ふじさん,3776,35.360600,138.727400,富士,"[""静岡県"",""山梨県""]",3000,剣ヶ峰,0
73,天城山,あまぎさん,1406,34.853300,139.003300,伊豆,"[""静岡県""]",2500,,0
74,木曽駒ヶ岳,きそこまがたけ,2956,35.789400,137.804400,中央アルプス,"[""長野県""]",1500,,0
75,空木岳,うつぎだけ,2864,35.645000,137.820000,中央アルプス,"[""長野県""]",1500,,0
76,恵那山,えなさん,2191,35.440800,137.594400,中央,"[""長野県"",""岐阜県""]",2500,,0
77,甲斐駒ヶ岳,かいこまがたけ,2967,35.758100,138.236400,南アルプス,"[""山梨県"",""長野県""]",1500,,0
78,仙丈ヶ岳,せんじょうがたけ,3033,35.720000,138.183900,南アルプス,"[""山梨県"",""長野県""]",1500,,0
79,鳳凰山,ほうおうざん,2841,35.695000,138.295000,南アルプス,"[""山梨県""]",1500,観音岳,0
80,北岳,きただけ,3193,35.674200,138.238600,南アルプス,"[""山梨県""]",1500,,0
81,間ノ岳,あいのだけ,3190,35.646100,138.228900,南アルプス,"[""山梨県"",""静岡県""]",1500,,0
82,塩見岳,しおみだけ,3052,35.578300,138.181100,南アルプス,"[""長野県"",""静岡県""]",1500,,0
83,悪沢岳,わるさわだけ,3141,35.478300,138.181100,南アルプス,"[""静岡県""]",1500,東岳,0
84,赤石岳,あかいしだけ,3121,35.460600,138.157500,南アルプス,"[""長野県"",""静岡県""]",1500,,0
85,聖岳,ひじりだけ,3013,35.370000,138.136700,南アルプス,"[""長野県"",""静岡県""]",1500,,0
86,光岳,てかりだけ,2592,35.320000,138.086700,南アルプス,"[""長野県"",""静岡県""]",1500,,0
87,白山,はくさん,2702,36.155300,136.771400,北陸,"[""石川県"",""岐阜県""]",2500,,0
88,荒島岳,あらしまだけ,1523,35.928300,136.595000,北陸,"[""福井県""]",2500,,0
89,伊吹山,いぶきやま,1377,35.418300,136.406400,近畿,"[""滋賀県"",""岐阜県""]",2500,,0
90,大台ヶ原山,おおだいがはらやま,1695,34.181900,136.108900,近畿,"[""奈良県"",""三重県""]",2500,,0
91,大峰山,おおみねさん,1915,34.172800,135.906100,近畿,"[""奈良県""]",2500,八経ヶ岳,0
92,大山,だいせん,1729,35.370800,133.546100,中国,"[""鳥取県""]",2500,剣ヶ峰,0
93,剣山,つるぎさん,1955,33.853300,134.095000,四国,"[""徳島県""]",2500,,0
94,石鎚山,いしづちさん,1982,33.767200,133.114400,四国,"[""愛媛県""]",2500,,0
95,九重山,くじゅうさん,1791,33.083900,131.250600,九州,"[""大分県""]",2500,中岳,0
96,祖母山,そぼさん,1756,32.828300,131.347800,九州,"[""大分県"",""宮崎県""]",2500,,0
97,阿蘇山,あそさん,1592,32.883900,131.103300,九州,"[""熊本県""]",3000,,0
98,霧島山,きりしまやま,1700,31.933900,130.861700,九州,"[""鹿児島県"",""宮崎県""]",3000,韓国岳,0
99,開聞岳,かいもんだけ,924,31.180000,130.527800,九州,"[""鹿児島県""]",2000,,0
100,宮之浦岳,みやのうらだけ,1936,30.333900,130.506100,九州,"[""鹿児島県""]",2500,,0
